PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO319479,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$6700.00,01/04/2010,KET ENTERPRISE DIVISION,560 COOPER DRIVE  ; LEXINGTON  ; KY  ; 40502-2200,LEXINGTON  ,KY
PO340558,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",$33758.00,09/15/2010,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO340518,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$22822.21,09/15/2010,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO338898,SPECIAL EDUCATION TRANSPORTATION,TELECOMMUNICATIONS CONSULTING 95,$30000.00,09/15/2010,"TRAPEZE SOFTWARE GROUP, INC.",8360 EAST VIA DE VENTORA SUITE L-200  ; SCOTTSDALE  ; AZ  ; 85258-,SCOTTSDALE  ,AZ
PO340548,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$32954.98,09/15/2010,COMMITTEE FOR CHILDREN,"2815 SECOND AVE, STE 400 STE 400  ; SEATTLE  ; WA  ; 98121-2804",SEATTLE  ,WA
PO340447,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,HUMAN RESOURCES CONSULTING 66,$5980.25,09/15/2010,ESCHOOL SOLUTIONS INC.,604 COURTLAND STREET  #300  ; ORLANDO  ; FL  ; 32804,ORLANDO  ,FL
PO340529,UNIVERSITY OF THE DISTRICT OF COLUMBIA,FOOD DISTRIBUTION SERVICES 40,$4085.40,09/15/2010,MAGGIANO'S LITTLE ITALY,5333 WISCONSIN AVENUE NW  ; WASHINGTON  ; DC  ; 20015,WASHINGTON  ,DC
PO340453,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"DISPLAYS, EDUCATIONAL: KITS, MODELS, PLAQUES, ETC. 44",$4084.70,09/15/2010,LAKESHORE LEARNING MATERIALS,2695 EAST DOMINGUEZ STREET  ; CARSON  ; CA  ; 90895,CARSON  ,CA
PO325727-V2,DEPARTMENT OF REAL ESTATE SERVICES,GUARD AND SECURITY SERVICES 46,$498000.00,09/15/2010,ADT SECURITY SERVICES,14434 ALBEMARLE POINT PLACE                        SUITE 120  ; CHANTILLY  ; VA  ; 20151,CHANTILLY  ,VA
PO340502,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$3776.76,09/15/2010,CASAS/DBA NATL EXTERNAL DIPLO,5151 MURPHY CANYON ROAD                            SUITE 220  ; SAN DIEGO  ; CA  ; 92123,SAN DIEGO  ,CA
PO340512,UNIVERSITY OF THE DISTRICT OF COLUMBIA,SOFTWARE MAINTENANCE/SUPPORT 45,$2687.50,09/15/2010,"INTELEX TECHNOLOGIES, INC","905 KING STREET WEST UNIT 600  ; TORONTO, ONTARIO  ;    ; M6K3G-","TORONTO, ONTARIO  ",
PO340535,DEPARTMENT OF PARKS AND RECREATION,SWIMMING AND SURFING EQUIPMENT 75,$12406.31,09/15/2010,RECREONICS INC,4200 SCHMITT AVENUE  ; LOUISVILLE  ; KY  ; 40213,LOUISVILLE  ,KY
PO321765-V2,OFFICE OF THE ATTORNEY GENERAL,LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50,$9893.50,09/15/2010,"EXPONENT, INC",149 COMMONWEATH DR  ; MENTO PARK  ; CA  ; 94025,MENTO PARK  ,CA
PO331894,HOMELAND SECURITY GRANTS,"OFFSET PRINTING, LARGE PRODUCTION RUNS (QUAN. OVER 100,000); 4 COLOR PROCESS OR CLOSE REGISTRATION REQUIRED: COLOR BROCHURES, MAPS, ETC. 61",$43044.00,09/15/2010,THE AQUILINE GROUP,1801 COLUMBIA ROAD NW SUITE 101  ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
PO340527,DEPARTMENT OF PARKS AND RECREATION,"VIDEO MEDIA  DUPLICATING AND PRODUCTION SERVICES (INCLUDING CD ROMS, TAPES, ETC.) 90",$2854.80,09/15/2010,THE AQUILINE GROUP,1801 COLUMBIA ROAD NW SUITE 101  ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
PO311281-V2,CHILD AND FAMILY SERVICES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$67764.60,09/15/2010,LINDSAY J. HOFFMAN,4602 WILWYN WAY  ; ROCKVILLE  ; MD  ; 20852,ROCKVILLE  ,MD
PO332027-V2,DEPARTMENT OF PUBLIC WORKS,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$209580.16,09/15/2010,"MALCOLM PIRNIE, INC.",701 TOWN CNTER DRIVE                               SUITE 600  ; NEWPORT NEWS  ; VA  ; 23606,NEWPORT NEWS  ,VA
PO340528,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"SUPPORT SERVICES, MANAGEMENT 68",$3495.50,09/15/2010,XENEGRADE CORP,7282 55TH AVENUE EAST  #120  ; BRADENTON  ; FL  ; 34203,BRADENTON  ,FL
PO337414-V3,DEPARTMENT OF PARKS AND RECREATION,"WOOD CHIPS AND BARK: COMPOSTED, SHREDDED, ETC. 95",$99000.00,09/15/2010,COMMUNITY BRIDGE INC,ONE SCOTT CIRCLE NW                                SUITE 820  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO336234-V2,DEPARTMENT OF PARKS AND RECREATION,"WOOD CHIPS AND BARK: COMPOSTED, SHREDDED, ETC. 95",$28800.00,09/15/2010,COMMUNITY BRIDGE INC,ONE SCOTT CIRCLE NW                                SUITE 820  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO313525-V3,OFFICE OF FINANCE & RESOURCE MGMT,"GASOLINE, AUTOMOTIVE 15",$5509316.57,09/15/2010,"FANNON PETROLEUM SVCS., INC.",7755 PROGRESS COURT  ; GAINESVILLE  ; VA  ; 20155,GAINESVILLE  ,VA
PO340488,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$5000.00,09/15/2010,RENZULLI LEARNING SYSTEMS LLC,66 OAKENGATES  ; AVON  ; CT  ; 06002,AVON  ,CT
PO340519,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"TELECONFERENCE SYSTEMS, AUDIO/VIDEO 56",$9918.00,09/15/2010,"NETWORKING FOR FUTURE, INC.",1023 15TH ST NW SUITE 500   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO340560,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$144981.00,09/15/2010,FIRST HOME CARE CORPORATION,1012 14TH STREET NW                                SUITE 1400  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO340532,OFF PUBLIC ED FACILITIES MODERNIZATION,"GARBAGE/TRASH REMOVAL, DISPOSAL AND/OR TREATMENT 27",$56858.00,09/15/2010,URBAN SERVICES SYSTEMS CORP,"212 VAN BUREN ST, NW   ; WASHINGTON  ; DC  ; 20012-",WASHINGTON  ,DC
PO310178-V4,DEPARTMENT OF HEALTH,ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05,$620000.00,09/15/2010,GOSPEL RESCUE MINISTRIES,"810 5TH STREET, NW   ; WASHINGTON  ; DC  ; 20001-0001",WASHINGTON  ,DC
PO310177-V4,DEPARTMENT OF HEALTH,ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05,$430500.00,09/15/2010,GOSPEL RESCUE MINISTRIES,"810 5TH STREET, NW   ; WASHINGTON  ; DC  ; 20001-0001",WASHINGTON  ,DC
PO329202-V3,DEPART OF YOUTH REHABILITATION SERVICES,NURSING SERVICES 64,$594336.00,09/15/2010,MAGNIFICUS CORPORATION,"37 L STREET, SE   ; WASHINGTON  ; DC  ; 20003-",WASHINGTON  ,DC
PO336257-V2,DEPARTMENT ON DISABILITY SERVICES,MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55,$144405.29,09/15/2010,ST. JOHN'S COMMUNITY SERVICES,"2201 WISCONSIN AVE , NW   ; WASHINGTON  ; DC  ; 20007-",WASHINGTON  ,DC
PO340541,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$4812.00,09/15/2010,INSTITUTE FOR BUILDING TECHNOL,505 HUNTMAR PARK DRIVE                             SUITE 3 250  ; HERNDON  ; VA  ; 20170,HERNDON  ,VA
PO310217-V6,DEPARTMENT OF HEALTH,ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05,$49102.50,09/15/2010,PILGRIM REST BAPTIST THERAPEUT,4601 SHERIFF RD NE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO340458,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$20000.00,09/15/2010,"H STREET MAIN STREET,INC.","961 H STREET, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO340462,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$5000.00,09/15/2010,FLORIDA AVENUE BAPTIST CHURCH,"623 FLORIDA AVENUE, NW  ; WASHINGTON   ; DC  ; 20001",WASHINGTON   ,DC
PO340556,DEPARTMENT OF MENTAL HEALTH,"SCREENING AND SIEVING APPARATUS AND ACCESSORIES: RIFFLE SAMPLERS, SIEVE SHAKERS, ETC. 78",$2990.88,09/15/2010,ENVIRONMENTS INCORPORATED,159 BAYPINES RD  ; BEAUFORT  ; SC  ; 29906-1348,BEAUFORT  ,SC
PO340510,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$35253.00,09/15/2010,TURNING THE PAGE,"1010 VERMONT AVENUE, NW                            SUITE 915  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO340465,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$15000.00,09/15/2010,MID ATLANTIC ARTS FOUNDATION,201 N. CHARLES STREET                              STE 401  ; BALTIMORE  ; MD  ; 21201,BALTIMORE  ,MD
PO329839-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),SPECIAL EDUCATION 74,$76566.98,09/15/2010,CAMBIUM LEARNING,17855 N. DALLAS PARKWAY SUITE 400  ; DALLAS  ; TX  ; 75287-6857,DALLAS  ,TX
PO322558-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,SNOW AND ICE REMOVAL SERVICES 72,$12198.96,09/15/2010,TRICON OF WASHINGTON DC INC,"1702 MINNESOTA AVENUE, SE STE B1  ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO310206-V2,DEPARTMENT OF HEALTH,ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05,$184000.00,09/15/2010,FAMILY MEDICAL COUNSELING,"2041 MLK JR AVE, S.E. SUITE# 303  ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO340525,OFFICE OF CHIEF FINANCIAL OFFICER,FURNITURE INSTALLATION AND RECONFIGURATION SERVICES (INCLUDING SYSTEMS FURNITURE) 45,$2536.81,09/15/2010,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO336736-V2,UNIVERSITY OF THE DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$7068.00,09/15/2010,NRI INC.,1015 18TH ST NW SUITE 710  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO340520,DEPARTMENT OF PARKS AND RECREATION,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$4000.00,09/15/2010,ROSS PROFESSIONAL SERVICES,"6230 3RD STREET, N.W., SUITE 6   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO338472,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,$344577.70,09/15/2010,KIDS PEACE MESABI ACADEMY,3438 ROUTE 309  ; OREFIELD  ; PA  ; 18069,OREFIELD  ,PA
PO310197-V7,DEPARTMENT OF HEALTH,ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05,$614113.30,09/15/2010,CLEAN AND SOBER STREETS,425-2ND STREET NW                                  (2-NORTH)  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO340509,CHILD AND FAMILY SERVICES,MEMBERSHIP DUES 48,$4000.00,09/15/2010,ASSOC. ADM. INTERSTATE COMPACT,"1133 19TH STREET, NW SUITE 400  ; WASHINGTON  ; DC  ; 20036-",WASHINGTON  ,DC
PO340552,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$30639.00,09/15/2010,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO215201-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,REEF CONSTRUCTION SERVICES INCLUDING MAINTENANCE AND REPAIR 65,$760448.32,09/15/2010,"U.S. ARMY DISTRICT, BAC",10 SOUTH HOWARD ST.  ; BALTIMORE  ; MD  ; 21201,BALTIMORE  ,MD
PO340522,OFFICE OF THE INSPECTOR GENERAL,EXPERT SYSTEM SOFTWARE 45,$17612.80,09/15/2010,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO340542,DEPARTMENT OF PUBLIC WORKS,FUEL AND FUEL OIL HANDLING EQUIPMENT 47,$144290.00,09/15/2010,PETROLEUM MANAGEMENT INC - PET,7443 SHIPLEY AVENUE   ; HARMANS  ; MD  ; 21077-,HARMANS  ,MD
PO340524,DEPARTMENT OF PUBLIC WORKS,,$4391.22,09/15/2010,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO340486,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TOKENS 88,$5000.00,09/15/2010,WASH METRO AREA TRANSIT AUTH,600 5TH STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO340444,UNIVERSITY OF THE DISTRICT OF COLUMBIA,TOKENS 88,$9225.00,09/15/2010,WASH METRO AREA TRANSIT AUTH,600 5TH STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO340451,DC PUBLIC LIBRARY,"PASSENGER TRANSPORTATION SERVICES, RAILROAD 50",$4000.00,09/15/2010,WASH METRO AREA TRANSIT AUTH,600 5TH STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO310572-V4,DEPARTMENT OF HEALTH,ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05,$1750000.00,09/15/2010,WISCONSIN AVE PSYCHIATRIC CENT,PSYCHIATRIC INST. OF WASH                          4228 WISCONSIN AVE. NW  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO330777-V3,DEPARTMENT OF MENTAL HEALTH,"MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62",$251979.32,09/15/2010,WISCONSIN AVE PSYCHIATRIC CENT,PSYCHIATRIC INST. OF WASH                          4228 WISCONSIN AVE. NW  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO340487,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$7650.00,09/15/2010,DOLCE INTER'L-BOLGER CENTER,9600 NEWBRIDGE DRIVE  ; POTOMAC  ; MD  ; 20854-4436,POTOMAC  ,MD
PO318300-V3,DEPARTMENT OF HEALTH CARE FINANCE,HEALTH CARE MANAGEMENT SERVICES (INCLUDING MANAGED CARE SERVICES) 56,$2225968.00,09/15/2010,"UNITY HEALTH CARE, INC.","1220 12TH STREET, S.E.                             SUITE 120  ; WASHINGTON  ; DC  ; 20003",WASHINGTON  ,DC
PO340515,UNIVERSITY OF THE DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$5000.00,09/15/2010,JACQUELYN HENRY,2239 PRINCE OF WALES COURT   ; BOWIE  ; MD  ; 20716-,BOWIE  ,MD
PO316328-V5,DEPARTMENT ON DISABILITY SERVICES,"MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62",$352528.15,09/15/2010,INDIVIDUAL ADVOCACY GROUP INC,1289 WINDHAM PARKWAY  ; ROMEOVILLE  ; IL  ; 60446,ROMEOVILLE  ,IL
PO340514,UNIVERSITY OF THE DISTRICT OF COLUMBIA,BIOLOGY SPECIMENS AND CULTURES (EXCEPT MICROBIAL) 25,$3901.68,09/15/2010,"FISHER SCIENTIFIC COMPANY, LLC",300 INDUSTRY DRIVE   ; PITTSBURGH  ; PA  ; 15275-,PITTSBURGH  ,PA
PO340545,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EMPLOYEE ASSISTANCE PROGRAMS (INCLUDING UNEMPLOYMENT COMPENSATION ADMINISTRATION SERVICES) 38,$4000.00,09/15/2010,PROINSPIRE,1305 N TAYLOR STREET STE 100  ; ARLINGTON  ; VA  ; 22201,ARLINGTON  ,VA
PO330283-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$5000.00,09/15/2010,"DISCOVERY EDUCATION, INC.",DISCOVERY EDUCATION INC                            ONE DISCOVERY PLACE  ; SILVER SPRING  ; MD  ; 20910,SILVER SPRING  ,MD
PO332790-V2,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$8000.00,09/16/2010,TECHNICAL LEARNING CENTER,"1720 I STREET, NW SUITE 200  ; WASHINGTON  ; DC  ; 20006-",WASHINGTON  ,DC
PO325744-V2,OFFICE OF THE ATTORNEY GENERAL,LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50,$8998.22,09/16/2010,ROTHFUSS ENGINEERING COMPANY,10610 IRON BRIDGE ROAD SUITE 5  ; JESSUP  ; MD  ; 20794,JESSUP  ,MD
PO340610,HOMELAND SECURITY/EMERGENCY MANAGEMENT,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENCY TYPE) RENTAL OR LEASE 14,$42391.78,09/16/2010,"CRISWELL CHEVEROLET, INC.",503 QUINCE ORCHARD ROAD  ; GAITHERSBURG  ; MD  ; 20878,GAITHERSBURG  ,MD
PO340580,DEPARTMENT OF PARKS AND RECREATION,"HATS AND HELMETS, SAFETY 56",$3975.28,09/16/2010,MEDICAL SUPPLY SYSTEMS INC,3182 BLADENSBURG RD. NE.  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO338733-V2,DEPARTMENT OF CORRECTIONS,HALFWAY HOUSING 49,$73242.40,09/16/2010,EFFORTS FROM EX CONVICTS INC,1514 8TH STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO340587,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"UNIFORMS, COTTON 86",$3542.05,09/16/2010,IMAGEONE UNIFORMS,12274 MAHONING AVE STE 11  ; NORTH JACKSON  ; OH  ; 44451,NORTH JACKSON  ,OH
PO310242-V5,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$514923.97,09/16/2010,"DC CHOICES, LLC","4701 N. KEYSTONE AVE,SUITE 150  ; INDIANAPOLIS  ; IN  ; 46205",INDIANAPOLIS  ,IN
PO340657,DEPARTMENT OF REAL ESTATE SERVICES,RELOCATION SERVICES FOR PERSONNEL 63,$42000.00,09/16/2010,TYSON PROJECT MANAGEMENT GROUP,1025 CONNECTICUT AVE SUITE 1000  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO340672,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$10094.00,09/16/2010,PRENTKE ROMICH COMPANY,1022 HEYL ROAD  ; WOOSTER  ; OH  ; 44691,WOOSTER  ,OH
PO340680,STATE SUPERINTENDENT OF EDUCATION (OSSE),"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",$18477.44,09/16/2010,"HI-TECH SOLUTION, INC.","1300 PENNSYLANIA AVE, NW                           SUITE 700  ; WASHINGTON  ; DC  ; 20004",WASHINGTON  ,DC
PO314796-V2,LOTTERY & CHARITABLE GAMES CONTROL BOARD,LOCKSMITH SERVICES 48,$5200.00,09/16/2010,STANLEY SECURITY SOLUTIONS,48 WEST GUDE DRIVE  ; ROCKVILLE  ; MD  ; 20850,ROCKVILLE  ,MD
PO340695,DC PUBLIC LIBRARY,LIBRARY INFORMATION MANAGEMENT SOFTWARE 59,$2999.75,09/16/2010,"LUCAS HOLDINGS, LLC",4900 N SANTA FE AVE  ; OKC  ; OK  ; 73118-3118,OKC  ,OK
PO340651,DEPARTMENT OF PARKS AND RECREATION,POLLUTION DETECTION AND CONTROL EQUIPMENT (OTHER THAN OIL SPILL) 55,$4557.50,09/16/2010,GENERAL MERCHANDISE SUPPLIES,"2221 ADAMS PLACE, N.E.  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO340662,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$30000.00,09/16/2010,PRINCETON CENTER FOR LEADERSHI,911 COMMONS WAY  ; PRINCETON  ; NJ  ; 08540,PRINCETON  ,NJ
PO340658,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$57456.00,09/16/2010,THE ROSEN PUBLISHING GROUP,29 EAST 21ST STREET  ; NEW YORK  ; NY  ; 10010,NEW YORK  ,NY
PO340660,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$57408.00,09/16/2010,MONDO PUBLISHING,980 AVE OF THE AMERICAS                            2ND FLOOR  ; NEW YORK  ; NY  ; 10018,NEW YORK  ,NY
PO340665,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$10000.00,09/16/2010,HARCOURT INC,6277 SEA HARBOR DRIVE  ; ORLANDO  ; FL  ; 32887,ORLANDO  ,FL
PO340717,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$3523.50,09/16/2010,SPECTRUM BEAUTY ACADEMY,25 SOUTH QUAKER LANE SUITE 15  ; ALEXANDRIA  ; VA  ; 22314-2314,ALEXANDRIA  ,VA
PO340714,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$4000.00,09/16/2010,CAREER TECHNICAL INSTITUTE INC,"2131 K ST NW, 7TH FLOOR   ; WASHINGTON  ; DC  ; 20037-",WASHINGTON  ,DC
PO340638,DEPARTMENT OF PARKS AND RECREATION,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$25956.00,09/16/2010,"SUPRETECH, INC.","7600 GEORGIA AVENUE, NW #LL  ; WASHINGTON  ; DC  ; 20012-",WASHINGTON  ,DC
PO340712,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$8000.00,09/16/2010,WESTLINK CAREER INSTITUTE,"DASIA M. MERRIWEATHER 1325 G STREET, NW - SUITE 500  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO340719,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$28891.00,09/16/2010,EDUCATORS FOR SOCIAL RESPON.,23 GARDEN STREET   ; CAMBRIDGE  ; MA  ; 02138-,CAMBRIDGE  ,MA
PO338338-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,INTERNET AND WEB SITE SOFTWARE FOR MAIN FRAME COMPUTERS 54,$33750.00,09/16/2010,RCK ASSOCIATES,601 PENNSYLVANIA AVE. NW                           SUITE 900  ; WASHINGTON  ; DC  ; 20004,WASHINGTON  ,DC
PO340684,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$46365.00,09/16/2010,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300   ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO340699,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$42664.00,09/16/2010,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300   ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO340686,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$19213.00,09/16/2010,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300   ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO340707,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EXAMINATION AND TESTING 20,$321132.35,09/16/2010,THE COLLEGE BOARD,45 COLUMBUS AVE   ; NEW YORK  ; NY  ; 10023-6992,NEW YORK  ,NY
PO340700,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TRANSLATION SERVICES 75,$4950.00,09/16/2010,LIU FU,8150 LAKECREST DR  #102  ; GREENBELT  ; MD  ; 20770,GREENBELT  ,MD
PO340659,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$30780.00,09/16/2010,SCHOOLWIDE INC.,65 ORVILLE DR.  ; BOHEMIA  ; NY  ; 11716,BOHEMIA  ,NY
PO337882,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ATHLETIC TRAINING 08,$2535.40,09/16/2010,"HENRY SCHEIN, INC.","135 DURYEA ROAD, MAIL RT.E-255   ; MELVILLE  ; NY  ; 11747-",MELVILLE  ,NY
PO334697,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ATHLETIC TRAINING 08,$2944.08,09/16/2010,"HENRY SCHEIN, INC.","135 DURYEA ROAD, MAIL RT.E-255   ; MELVILLE  ; NY  ; 11747-",MELVILLE  ,NY
PO340607,CHILD AND FAMILY SERVICES,ADVERTISING/PUBLIC RELATIONS 03,$5550.00,09/16/2010,MONSTER WORLDWIDE INC.,5 CLOCK TOWER PLACE                                SUITE # 500  ; MAYNARD  ; MA  ; 01754,MAYNARD  ,MA
