PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS
PO381587,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,126205,12/01/2011,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE NE, WASHINGTON, DC, 20011"
PO296342-V2,DC PUBLIC LIBRARY,"CONSTRUCTION SERVICES, TRADE (NEW CONSTRUCTION) 00",164165,12/01/2011,FORRESTER CONSTRUCTION CO.,"12231 PARKLAWN DR., ROCKVILLE, MD, 20852"
PO375957-V2,DEPARTMENT OF HEALTH,EMPLOYMENT AGENCY AND SEARCH FIRM SERVICES (INCLUDING BACKGROUND INVESTIGATIONS AND DRUG TESTING FOR EMPLOYMENT) 30,426653,12/01/2011,ALL-YOU-NEED TEMPORARY SVCS,"1712 I ST NW, WASHINGTON, DC, 20006"
PO381744,DEPARTMENT OF MOTOR VEHICLES,"UNIFORMS, BLENDED FABRIC 85",10000,12/01/2011,MORGANS INC,"900 RHODE ISLAND AVENUE NE, WASHINGTON, DC, 20018"
PO374837-V2,DEPARTMENT OF MENTAL HEALTH,"AIR COMPRESSORS AND ACCESSORIES, MAINTENANCE AND REPAIR 08",3000,12/01/2011,RSC ELECTRICAL & MECHANICAL CO,"6035 DIX STREET NE, WASHINGTON, DC, 20019"
PO375930-V2,DC PUBLIC LIBRARY,"BOILER MAINTENANCE AND REPAIR, STEAM (INCLUDING TESTING SERVICES - SEE 941-56 FOR HYDROSTATIC TESTING) 25",174000,12/01/2011,RSC ELECTRICAL & MECHANICAL CO,"6035 DIX STREET NE, WASHINGTON, DC, 20019"
PO381705,OFFICE ON AGING,ELDERLY ASSISTANCE SERVICES 40,238815,12/01/2011,WHOLE FOODS MARKET,"1440 P. STREET NW, WASHINGTON, DC, 20005"
PO376804-V2,DEPARTMENT OF REAL ESTATE SERVICES,FIRE EXTINGUISHER MAINTENANCE (INCLUDING RECHARGING) AND REPAIR 34,33667,12/01/2011,"SILVER SPRING FIRE PROTECTION,","7389 WASHINGTON BLVD.  SUITE 105, ELKRIDGE, MD, 21075"
PO381683,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BUS TRANSPORTATION SERVICES, SCHOOL 16",800000,12/01/2011,CAPITOL ENTERTAINMENT,"3629 18TH STREET NE, WASHINGTON, DC, 20018"
PO381667,DEPART OF YOUTH REHABILITATION SERVICES,ICE AND SNOW REMOVAL CHEMICALS (SEE 775-45 FOR ROAD SALT) 46,5400,12/01/2011,INTERNATIONAL SALT COMPANY LLC,"655 NORTHERN BOULEVARD, CLARKS SUMMIT, PA, 18411"
PO381802,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,51566.16,12/02/2011,HARTMAN-COX ARCHITECTS LLP,"1074 THOMAS JEFFERSON ST., NW, WASHINGTON, DC, 20007"
PO381764,OFFICE OF THE ATTORNEY GENERAL,LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50,3000,12/02/2011,D DAVID MISSAR PHD,"3300 M STREET NW, SUITE 201, WASHINGTON, DC, 20007"
PO381798,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,7500,12/02/2011,DMS CONSTRUCTION CONSULTING SE,"5550 STERRETT PLACE, SUITE 300, COLUMBIA, MD, 21044"
PO381833,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CARTS AND STANDS, TELEVISION 27",89500,12/02/2011,ADT SECURITY SERVICES,"14434 ALBEMARLE POINT PLACE, CHANTILLY, VA, 20151"
PO381832,STATE SUPERINTENDENT OF EDUCATION (OSSE),CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,67500,12/02/2011,GENESIS HEALTH & EDUCATION COR,"12120 CHANCERY STATION CIRCLE, RESTON, VA, 20190"
PO381826,DEPARTMENT OF HEALTH,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENCY TYPE) RENTAL OR LEASE 14,24900,12/02/2011,"MOBILITY, INC. DBA FLEXCAR","25 FIRST STREET, CAMBRIDGE, MA, 02141"
PO381801,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,14376.16,12/02/2011,KADCON CORPORATION,"1053 31ST STREET NW, WASHINGTON, DC, 20007"
PO381749,DEPARTMENT OF HUMAN SERVICES,CASE MANAGEMENT 15,376071,12/02/2011,CATHOLIC CHARITIES,"12247 GEORGIA AVE, SILVER SPRING, MD, 20902"
PO381805,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"TOILET TISSUES, PAPER TOWELS, AND TOILET SEAT COVERS 75",4993.1,12/02/2011,METROPOLITAN OFFICE PRODUCTS,"910 BARNABY ST SE, WASHINGTON, DC, 20032"
PO381831,STATE SUPERINTENDENT OF EDUCATION (OSSE),CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,15000,12/02/2011,COLUMBIA LIGHTHOUSE FOR BLIND,"1825 K STREET NW, WASHINGTON, DC, 20006"
PO381754,DEPARTMENT OF HUMAN SERVICES,CASE MANAGEMENT 15,275803.2,12/02/2011,TRANSITIONAL HOUSING CORPORATI,"5101 16TH STREET NW, WASHINGTON, DC, 20011"
PO381750,DEPARTMENT OF HUMAN SERVICES,CASE MANAGEMENT 15,435240,12/02/2011,COMMUNITY OF HOPE INC,"1413 GIRARD STREET, NW, WASHINGTON DC, DC, 20009"
PO381827,FIRE AND EMERGENCY MEDICAL SERVICES,"REPLACEMENT PARTS FOR OTHER THAN CHRYSLER, FORD, GENERAL MOTORS, AND INTERNATIONAL HARVESTER 74",65000,12/02/2011,LAAKE ENTERPRISES INC,"6401 MACAW COURT, ELKRIDGE, MD, 21075"
PO381753,DEPARTMENT OF HUMAN SERVICES,CASE MANAGEMENT 15,325506,12/02/2011,COMMUNITY CONNECTIONS,"801 PENNSYLVANIA AVE SE, WASHINGTON, DC, 20003"
PO381757,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,398836.62,12/02/2011,NATIONAL CENTER & INSTITUTIONS,"7222 AMBASSADOR ROAD, BALTIMORE, MD, 21244"
PO381818,DEPARTMENT OF REAL ESTATE SERVICES,"DOOR AUTOMATIC OPERATOR INSTALLATION, MAINTENANCE AND REPAIR 23",25000,12/02/2011,METROPOLITAN ROLLING DOORS INC,"9620 GERWIG LANE, COLUMBIA, MD, 21046"
PO381829,STATE SUPERINTENDENT OF EDUCATION (OSSE),CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,60000,12/02/2011,"ARBOR E & T, LLC","220 NORTH JACKSON STREET, MEDIA, PA, 19063"
PO381752,DEPARTMENT OF HUMAN SERVICES,CASE MANAGEMENT 15,309298.5,12/02/2011,COMM.COUNC.FOR THE HOMELESS,"4713 WISCONSIN AVE. NW, WASHINGTON, DC, 20016"
PO381761,OFFICE OF ZONING,MAILING EQUIPMENT INCLUDING POSTAGE METER RENTAL OR LEASE 54,7950,12/02/2011,DUPONT COMPUTERS,"1761 S STREET NW, WASHINGTON, DC, 20009"
PO377540-V2,BOARD OF ELECTIONS & ETHICS,FORMS PRINTING (NOT CONTINUOUS) 36,24345,12/02/2011,DUPONT COMPUTERS,"1761 S STREET NW, WASHINGTON, DC, 20009"
PO381817,DEPARTMENT OF CORRECTIONS,"MULTI-FUNCTION OFFICE MACHINES (COMBINATION OF FAX-COPIER-SCANNER-PRINTER, ETC.) 72",47601.2,12/02/2011,"MVS, INC.","1401 14TH STREET NW, WASHINGTON, DC, 20005"
PO381806,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,JANITORIAL EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 65,3402.6,12/02/2011,CAPITAL SERVICES AND SUPPLIES,"2804 DOUGLAS STREET NE, WASHINGTON, DC, 20018"
PO381759,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,5505,12/02/2011,BENNETT BEAUTY INSTITUTE INC,"700 MONROE STREET, N.E., WASHINGTON, DC, 20017"
PO381799,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,113542.86,12/02/2011,"ADRIAN L. MERTON, INC.","9011 EAST HAMPTON DRIVE, CAPITOL HEIGHTS, MD, 20743"
PO381760,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,144905,12/02/2011,APIC,"1275 K STREET, NW SUITE 1000, WASHINGTON, DC, 20005"
PO381809,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,3860,12/02/2011,HAINES AND COMPANY INC,"8050 FREEDOM AVENUE NW, NORTH CANTON, OH, 44720"
PO381772,METROPOLITAN POLICE DEPARTMENT,"HARDWARE, FITTINGS, PARTS, AND SUPPLIES, BOAT (EXCEPT SPARK PLUGS) 44",8590,12/02/2011,TRI STATE MARINE INC,"5861 DEALE CHURCHTON ROAD, DEALE, MD, 20751"
PO381767,DC NATIONAL GUARD,"FOR CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 25",3375,12/02/2011,IOWA COLLEGE ACQUISITION CORP,"6600 NORTH ANDREW AVENUE SUITE 400, FT LAUDERDALE, FL, 33309"
PO381820,STATE SUPERINTENDENT OF EDUCATION (OSSE),"ADVISORY SERVICES, EDUCATIONAL 05",701602,12/02/2011,"NCS PEARSON, INC","5601 GREEN VALLEY DRIVE, BLOOMINGTON, MN, 55437"
PO381830,STATE SUPERINTENDENT OF EDUCATION (OSSE),CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,5000,12/02/2011,"CHATTERBOX, PLLC","231 44TH STREET, N.E., WASHINGTON, DC, 20019"
PO381775,CHILD AND FAMILY SERVICES,"TYPEWRITERS, MEMORY: TYPEWRITERS WITH MEMORY FOR DATA STORAGE AND RETRIEVAL (NOT MICROCOMPUTER SYSTEM STYLE) 89",3600,12/02/2011,"SUPRETECH, INC.","7600 GEORGIA AVENUE NW, WASHINGTON, DC, 20012"
PO381771,DISTRICT DEPARTMENT OF THE ENVIRONMENT,MEMBERSHIP DUES 48,10000,12/02/2011,CLEAN ENERGY STATES ALLIANCE,"50 STATE STREET, STE 1, MONTPELIER, VT, 05602"
PO381797,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,225000,12/02/2011,"GCS/SIGAL, LLC","3020 YOST PLACE NE, WASHINGTON, DC, 20018"
PO381755,DEPARTMENT OF HUMAN SERVICES,CASE MANAGEMENT 15,477192,12/02/2011,METROPOLITAN EDUCTATIONAL SOLUTIONS,"12138 CENTRAL AVENUE, MITCHELLVILLE, MD, 20721"
PO381834,EQUIPMENT LEASE - CAPITAL,HUMAN SERVICES CONSULTING (TO INCLUDE MENTAL HEALTH CONSULTING SERVICES) 67,142539,12/02/2011,"ACCENTURE, LLP","ONE FIRST NAT'L PLAZA  525 W. MONROE 8TH FL, CHICAGO, IL, 60601"
PO381914,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,2586,12/05/2011,STRYKER SALES CORPORATION,"3800 E CENTRE AVENUE, PORTAGE, MI, 49002"
PO381941,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TRANSLATION SERVICES 75,4000,12/05/2011,MULTILINGUAL SOLUTIONS INC,"22 W. JEFFERSON ST,STE 403, ROCKVILLE, MD, 20850"
PO368411-V2,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,104800,12/05/2011,STV-DHA JOINT VENUTRE,"205 WEST WELSH DRIVE, DOUGLASSVILLE, PA, 19518"
PO381866,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,22252.5,12/05/2011,"EMERGENT, LLC","8133 LEESBURG PIKE SUITE 450, VIENNA, VA, 22182"
PO381932,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,5281.14,12/05/2011,THREE H FURNITURE SYSTEMS LIMI,"156462 CLOVER VALLEY ROAD, NEW LISKEARD, ON, POJ1P"
PO381917,HOMELAND SECURITY GRANTS,"PAPER CLIPS, CLAMPS, FASTENERS (ROUND AND FLAT HEAD), DISPENSERS, ETC. 69",7395.64,12/05/2011,AMERICAN OFFICE SUPPLIES,"2300 M ST NW, WASHINGTON, DC, 20037"
PO381923,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,20000,12/05/2011,FARONICS TECHNOLOGIES USA INC.,"2411 OLD CROW CANYON ROAD  SUITE 170, SAN RAMON, CA, 94583"
PO381928,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,5467,12/05/2011,VISION SECURITY SOLUTION,"1818 NEW YORK AVE NE, WASHINGTON, DC, 20002"
PO381880,DEPARTMENT OF EMPLOYMENT SERVICES,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,260000,12/05/2011,NORTHROP GRUMMAN SYSTEMS CORP,"1840 CENTURY PARK EAST, LOS ANGELES, CA, 900672199"
PO381939,DEPARTMENT OF MOTOR VEHICLES,SOFTWARE MAINTENANCE/SUPPORT 45,4311.14,12/05/2011,EXECUTIVE SOFTWARE INTERNAT'L,"7590 N. GLENOAKS BLVD., BURBANK, CA, 915041052"
PO381886,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,111436,12/05/2011,DELL COMPUTER CORP.,"ONE DELL WAY, ROUND ROCK, TX, 78682"
PO381884,FIRE AND EMERGENCY MEDICAL SERVICES,DATABASE SOFTWARE 37,39470.14,12/05/2011,DELL COMPUTER CORP.,"ONE DELL WAY, ROUND ROCK, TX, 78682"
PO381910,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,4000,12/05/2011,BLANCA FLOR GUILLEN-WOODS,"1499 MASSACHUSETTS AVE. N.W.   #319, WASHINGTON, DC, 20005"
PO381872,OFFICE ON AGING,ELDERLY ASSISTANCE SERVICES 40,46720,12/05/2011,HARMONY INFORMATION SYS INC,"12120 SUNSET HILLS RD. SUITE 5, RESTON, VA, 20190"
PO377648-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,7313.4,12/05/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO381883,EQUIPMENT LEASE - CAPITAL,"PROGRAMMING SERVICES, COMPUTER 40",192694.95,12/05/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO356444-V3,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,132251.16,12/05/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO314442-V4,DC PUBLIC LIBRARY,"SIGNAGE, ADVERTISING TYPE (INTERIOR AND EXTERIOR) 62",66063.2,12/05/2011,CREATIVE SIGNS & GRAPHICS DBA,"4200 WISCONSIN AVE NW, WASHINGTON, DC, 20016"
PO376731-V2,OFFICE OF PEOPLE'S COUNSEL,"PERSONNEL SERVICES, TEMPORARY 69",5280,12/05/2011,MIDTOWN PERSONNEL INC,"900 7TH STREET NW, WASHINGTON, DC, 20001"
PO381919,CHILD AND FAMILY SERVICES,"PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72",23889,12/05/2011,"STAR OFFICE PRODUCTS, INC","1900 L STREET NW, WASHINGTON, DC, 20036"
PO381915,METROPOLITAN POLICE DEPARTMENT,"PADS AND TABLETS: ANALYSIS, COLUMNAR, FIGURE, MEMO, NOTE, RULED, POST-IT NOTES, TELEPHONE MESSAGE, ETC. 62",95000,12/05/2011,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,"35 SHERIDAN STREET, WASHINGTON, DC, 20011"
PO381859,OFFICE OF PEOPLE'S COUNSEL,LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50,16686,12/05/2011,REED ELSEVIER INCORPORATED,"PO BOX 70267026, PHILADELPHIA, PA, 19170"
PO381934,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,7466.6,12/05/2011,DOURON INC.,"30 NEW PLANT COURT, OWINGS MILLS, MD, 21117"
PO381916,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,168000,12/05/2011,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE NE, WASHINGTON, DC, 20011"
PO381938,METROPOLITAN POLICE DEPARTMENT,"GUN CLEANING SUPPLIES: PATCHES, RODS, SILICONE CLOTHS, SOLVENTS AND BRUSHES, ETC. 56",24999,12/05/2011,SUPERIOR SERVICE & ASSOC. INC,"1539 FIRST STREET SW, WASHINGTON, DC, 20024"
PO376469-V2,OFFICE OF PEOPLE'S COUNSEL,COURIER/DELIVERY SERVICES (INCLUDING AIR COURIER SERVICES) 24,5000,12/05/2011,VMW EXPRESS LLC,"22930 QUICKSILVER DR. STE 125, STERLING, VA, 20166"
PO381875,FIRE AND EMERGENCY MEDICAL SERVICES,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,8130,12/05/2011,BOUNDTREE MEDICAL LLC,"15 CENTERVALE RD, HENNIKER, NH, 03242"
PO381912,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,STUDENT ACTIVITIES SERVICES 76,4792.29,12/05/2011,STUDY ISLAND,"3400 CARLISLE ST, DALLAS, TX, 75204"
PO375158-V2,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,91990.62,12/05/2011,FRONTLINE COMMUNITY SERVICES,"6930 CARROLL AVENUE SUITE 200, TAKOMA PARK, MD, 20912"
PO381874,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,233100,12/05/2011,JRW SERVICES CORP,"144 CARSON VALLEY WAY, SANTA FE, NM, 875087508"
PO379343-V2,DEPARTMENT OF REAL ESTATE SERVICES,GUARD AND SECURITY SERVICES 46,56486,12/05/2011,FIRST TRANSIT INC DBA FIRST VE,"705 CENTRAL AVE, CINCINNATI, OH, 45202"
PO381911,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,6817.69,12/05/2011,ACCU WEATHER INC,"385 SCIENCE PARK ROAD, STATE COLLEGE, PA, 16870"
PO381936,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,4460,12/05/2011,JCO RAND* CONSTRUCTION,"2600 VIRGINIA AVENUE NW, WASHINGTON, DC, 20037"
PO381925,DEPARTMENT OF REAL ESTATE SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,4900,12/05/2011,BEDD GROUP LLC,"1744 TAYLOR STREET NW, WASHINGTON, DC, 20011"
PO381879,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SIGN LANGUAGE SERVICES FOR THE HEARING IMPAIRED 67,4999,12/05/2011,JEREMY MANN DBA HANDS IN MOTIO,"2100 M STREET, NW  STE 170275, WASHINGTON, DC, 20037"
PO381940,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TRANSLATION SERVICES 75,15000,12/05/2011,"DT TRANSLATION, INC","3040 SCHUBERT DR, SILVER SPRING, MD, 20904"
PO381991,HOMELAND SECURITY GRANTS,"RECORDING TAPE, VIDEO; AND VIDEO CASSETTES; VIDEOTAPE EVALUATOR/CLEANER 40",19932,12/06/2011,DEDICATED MICROS INC,"14434 ALBEMARLE POINT PLACE  SUITE 100, CHANTILLY, VA, 20151"
PO381999,DEPARTMENT OF PUBLIC WORKS,NEWSPAPER AND PUBLICATION ADVERTISING 71,5000,12/06/2011,WASHINGTON NEWSPAPER PUBLISHI,"1015 15TH STREET NW, WASHINGTON, DC, 20005"
PO381982,OFFICE OF THE ATTORNEY GENERAL,LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50,20005,12/06/2011,"MCDONOUGH BOLYARD PECK, INC.","3040 WILLIAMS DRIVE SUITE 300, FAIRFAX, VA, 22031"
PO381998,DEPARTMENT OF PUBLIC WORKS,MAILING EQUIPMENT (INCLUDING SHIPPING CONTAINERS) 66,4230,12/06/2011,"CERTIFIED MAIL ENVELOPES, INC.","320 CHARLESTON PL., CELEBRATION, FL, 34747"
PO382011,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TUTORING 80,30000,12/06/2011,LEARNING 4 TODAY CO.,"6520 BASELINE RD, LITTLE ROCK, AR, 72209"
PO381965,METROPOLITAN POLICE DEPARTMENT,VETERINARY SERVICES 86,6500,12/06/2011,"BUTLER ANIMAL HEALTH HOLDING,L","36527 TREASURY CENTER, CHICAGO , IL, 60694"
PO382004,DEPARTMENT OF PUBLIC WORKS,SNOW AND ICE REMOVAL SERVICES 72,15600,12/06/2011,TKM ENTERPRISES LLC,"938 E. SWANN CREEK RD, FORT WASHINGTON, MD, 20744"
PO382016,DEPARTMENT OF HEALTH,"MAILING SERVICES (INCL. COLLATING, PACKAGING, SORTING AND DELIVERY) 58",12000,12/06/2011,"PUBLISHING CONCEPT, INC.","14109 TAYLOR LOOP ROAD, LITTLE ROCK, AR, 72223"
PO377790-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,2950,12/06/2011,OFFICEMAX,"6745 BUSINESS PARKWAY, ELKRIDGE, MD, 21075"
PO381974,DEPARTMENT OF HEALTH CARE FINANCE,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,575000,12/06/2011,"ACS STATE HEALTHCARE, LLC","2828 N HASKELL BLDG 5 5TH FLOOR, DALLAS, TX, 75204"
PO382007,COUNCIL OF THE DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,21874.6,12/06/2011,"CROCKETT FACILITIES SERVICES,","4931 TELSA DRIVE   SUITE C, BOWIE, MD, 20715"
PO365631-V6,OFFICE OF CHIEF FINANCIAL OFFICER,COMPUTER HARDWARE CONSULTING 28,182258.35,12/06/2011,DLT SOLUTIONS INC,"13861 SUNRISE VALLEY DRIVE, HERNDON, VA, 20171"
PO381971,D.C. DEPARTMENT OF HUMAN RESOURCES,PERSONNEL/EMPLOYMENT CONSULTING 85,5000,12/06/2011,PRM CONSULTING INC,"1814 13TH STREET NW, WASHINGTON, DC, 20009"
PO380661,OFFICE ON AGING,ELDERLY ASSISTANCE SERVICES 40,287211,12/06/2011,BARNEY NEIGHBORHOOD HOUSE,"5656 A THIRD STREET NE, WASHINGTON, DC, 20011"
PO382012,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,22752,12/06/2011,"OST, INC.","2001 M STREET NW, WASHINGTON, DC, 20036"
PO377249-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,38995.2,12/06/2011,"OST, INC.","2001 M STREET NW, WASHINGTON, DC, 20036"
PO354971-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,48884.36,12/06/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO382013,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,47692.8,12/06/2011,"OST, INC.","2001 M STREET NW, WASHINGTON, DC, 20036"
PO381973,OFFICE OF CHIEF FINANCIAL OFFICER,COMPUTER HARDWARE CONSULTING 28,57276,12/06/2011,"OST, INC.","2001 M STREET NW, WASHINGTON, DC, 20036"
PO381983,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",9173.4,12/06/2011,LT JOSEPH P KENNEDY INSTITUTE,"801 BUCHANAN STREET NE, WASHINGTON, DC, 20017"
PO381981,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,367111,12/06/2011,ANCHOR MENTAL HEALTH ASSN. INC,"1001 LAWRENCE STREET  NE, WASHINGTON, DC, 20017"
PO381984,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",11209.04,12/06/2011,SUNSHINE EARLY LEARNING,"4224 6TH ST SE SOUTHEAST CHILD DEVELOPMENT, WASHINGTON, DC, 20032"
PO381988,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",25000,12/06/2011,ZENA CHILD DEVELOPMENT CENTER,"4119 4TH STREET, SE, WASHINGTON, DC, 20032"
PO381980,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,343006.15,12/06/2011,COMMUNITY CONNECTIONS,"801 PENNSYLVANIA AVE SE, WASHINGTON, DC, 20003"
PO381968,CHILD AND FAMILY SERVICES,"INFORMATION HIGHWAY ELECTRONIC SERVICES (INTERNET, WORLD WIDE WEB, ETC.) 51",128764,12/06/2011,SPRINT,"4TH FLOOR  1200 MAIN STREET, KANSAS CITY, MO, 69105"
PO381985,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",25000,12/06/2011,"MARTHA'S TABLE, INC.","2114 14TH STREET NW, WASHINGTON, DC, 20009"
PO381986,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,120000,12/06/2011,THE PITTMAN GROUP INC,"1875 I STREET NW, WASHINGTON, DC, 20006"
PO381963,OFFICE OF CHIEF FINANCIAL OFFICER,RECYCLED OFFICE SUPPLIES 73,3000,12/06/2011,CAPITAL SERVICES AND SUPPLIES,"2804 DOUGLAS STREET NE, WASHINGTON, DC, 20018"
PO370324,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,400000,12/06/2011,FORRESTER CONSTRUCTION CO.,"12231 PARKLAWN DR., ROCKVILLE, MD, 20852"
PO382000,DEPARTMENT OF PUBLIC WORKS,"AUTOMOBILE, TRUCK AND BUS PARTS AND EQUIPMENT 09",14000,12/06/2011,MONTANA DOUBLE CAR WASH,"2327 18TH STREET NE, WASHINGTON, DC, 20018"
PO382014,DEPARTMENT OF HEALTH,MEMBERSHIP DUES 48,18800,12/06/2011,ASSN OF STATE & TERRIT HEALTH,"2231 CRYSTAL DRIVE, ARLINGTON, VA, 22202"
PO382017,DEPARTMENT OF HEALTH,"LABORATORY EQUIPMENT AND ACCESSORIES, MAINTENANCE AND REPAIR: FOR GENERAL AND ANALYTICAL RESEARCH USE, NUCLEAR, OPTICAL, PHYSICAL 62",3848,12/06/2011,PARKER HANNIFIN CORP.,"100 AMES POND DRIVE, TEWSBURY, MA, 01876"
